measure,sctn_increment,call_num,col_num,shelf_num,section_num,range_num,runsum,col_num2,shelf_per_section,section_per_range,way,units_into,pretty_waypoint
30.0,,,4,2273,330,45,60700.0,04,2,6,2347,18.398766470490955,The last book from this shelf goes 18.4 in/cm into shelf 2347
30.0,,,4,2274,330,45,60730.0,04,3,6,2348,22.332018053071806,The last book from this shelf goes 22.3 in/cm into shelf 2348
31.0,,,4,2275,330,45,60761.0,04,4,6,2350,1.198521218233509,The last book from this shelf goes 1.2 in/cm into shelf 2350
30.0,,,4,2276,330,45,60791.0,04,5,6,2351,5.13177280081436,The last book from this shelf goes 5.1 in/cm into shelf 2351
35.0,,,4,2277,330,45,60826.0,04,6,6,2352,14.065024383395212,The last book from this shelf goes 14.1 in/cm into shelf 2352
35.0,,,4,2278,330,45,60861.0,04,7,6,2353,22.998275965976063,The last book from this shelf goes 23.0 in/cm into shelf 2353
32.0,x,RD795 .G5,4,2279,331,46,60893.0,04,1,1,2355,2.864779131137766,The last book from this shelf goes 2.9 in/cm into shelf 2355
34.0,,,4,2280,331,46,60927.0,04,2,1,2356,10.798030713718617,The last book from this shelf goes 10.8 in/cm into shelf 2356
35.0,,,4,2281,331,46,60962.0,04,3,1,2357,19.73128229629947,The last book from this shelf goes 19.7 in/cm into shelf 2357
34.0,,,4,2282,331,46,60996.0,04,4,1,2359,1.5977854614611715,The last book from this shelf goes 1.6 in/cm into shelf 2359
29.0,,,4,2283,331,46,61025.0,04,5,1,2360,4.531037044042023,The last book from this shelf goes 4.5 in/cm into shelf 2360
34.0,,,4,2284,331,46,61059.0,04,6,1,2361,12.464288626622874,The last book from this shelf goes 12.5 in/cm into shelf 2361
35.0,,,4,2285,331,46,61094.0,04,7,1,2362,21.397540209203726,The last book from this shelf goes 21.4 in/cm into shelf 2362
32.0,x,,4,2286,332,46,61126.0,04,1,2,2364,1.2640433743654285,The last book from this shelf goes 1.3 in/cm into shelf 2364
34.0,,,4,2287,332,46,61160.0,04,2,2,2365,9.19729495694628,The last book from this shelf goes 9.2 in/cm into shelf 2365
35.0,,,4,2288,332,46,61195.0,04,3,2,2366,18.13054653952713,The last book from this shelf goes 18.1 in/cm into shelf 2366
35.0,,,4,2289,332,46,61230.0,04,4,2,2368,0.997049704688834,The last book from this shelf goes 1.0 in/cm into shelf 2368
32.0,,,4,2290,332,46,61262.0,04,5,2,2369,6.930301287269685,The last book from this shelf goes 6.9 in/cm into shelf 2369
34.0,,,4,2291,332,46,61296.0,04,6,2,2370,14.863552869850537,The last book from this shelf goes 14.9 in/cm into shelf 2370
35.0,,,4,2292,332,46,61331.0,04,7,2,2371,23.796804452431388,The last book from this shelf goes 23.8 in/cm into shelf 2371
35.0,x,,4,2293,333,46,61366.0,04,1,3,2373,6.663307617593091,The last book from this shelf goes 6.7 in/cm into shelf 2373
35.0,,,4,2294,333,46,61401.0,04,2,3,2374,15.596559200173942,The last book from this shelf goes 15.6 in/cm into shelf 2374
34.0,,,4,2295,333,46,61435.0,04,3,3,2375,23.529810782754794,The last book from this shelf goes 23.5 in/cm into shelf 2375
33.0,,,4,2296,333,46,61468.0,04,4,3,2377,4.3963139479164965,The last book from this shelf goes 4.4 in/cm into shelf 2377
33.0,,,4,2297,333,46,61501.0,04,5,3,2378,11.329565530497348,The last book from this shelf goes 11.3 in/cm into shelf 2378
33.0,,,4,2298,333,46,61534.0,04,6,3,2379,18.2628171130782,The last book from this shelf goes 18.3 in/cm into shelf 2379
29.0,,,4,2299,333,46,61563.0,04,7,3,2380,21.19606869565905,The last book from this shelf goes 21.2 in/cm into shelf 2380
35.0,x,,4,2300,334,46,61598.0,04,1,4,2382,4.0625718608207535,The last book from this shelf goes 4.1 in/cm into shelf 2382
36.0,,,4,2301,334,46,61634.0,04,2,4,2383,13.995823443401605,The last book from this shelf goes 14.0 in/cm into shelf 2383
35.0,,,4,2302,334,46,61669.0,04,3,4,2384,22.929075025982456,The last book from this shelf goes 22.9 in/cm into shelf 2384
32.0,,,4,2303,334,46,61701.0,04,4,4,2386,2.795578191144159,The last book from this shelf goes 2.8 in/cm into shelf 2386
30.0,,,4,2304,334,46,61731.0,04,5,4,2387,6.7288297737250105,The last book from this shelf goes 6.7 in/cm into shelf 2387
35.0,,,4,2305,334,46,61766.0,04,6,4,2388,15.662081356305862,The last book from this shelf goes 15.7 in/cm into shelf 2388
29.0,,,4,2306,334,46,61795.0,04,7,4,2389,18.595332938886713,The last book from this shelf goes 18.6 in/cm into shelf 2389
35.0,x,,4,2307,335,46,61830.0,04,1,5,2391,1.461836104048416,The last book from this shelf goes 1.5 in/cm into shelf 2391
30.0,,,4,2308,335,46,61860.0,04,2,5,2392,5.395087686629267,The last book from this shelf goes 5.4 in/cm into shelf 2392
34.0,,,4,2309,335,46,61894.0,04,3,5,2393,13.328339269210119,The last book from this shelf goes 13.3 in/cm into shelf 2393
35.0,,,4,2310,335,46,61929.0,04,4,5,2394,22.26159085179097,The last book from this shelf goes 22.3 in/cm into shelf 2394
32.0,,,4,2311,335,46,61961.0,04,5,5,2396,2.128094016952673,The last book from this shelf goes 2.1 in/cm into shelf 2396
34.0,,,4,2312,335,46,61995.0,04,6,5,2397,10.061345599533524,The last book from this shelf goes 10.1 in/cm into shelf 2397
35.0,,,4,2313,335,46,62030.0,04,7,5,2398,18.994597182114376,The last book from this shelf goes 19.0 in/cm into shelf 2398
34.0,x,,4,2314,336,46,62064.0,04,1,6,2400,0.8611003472760785,The last book from this shelf goes 0.9 in/cm into shelf 2400
33.0,,,4,2315,336,46,62097.0,04,2,6,2401,7.79435192985693,The last book from this shelf goes 7.8 in/cm into shelf 2401
34.0,,,4,2316,336,46,62131.0,04,3,6,2402,15.727603512437781,The last book from this shelf goes 15.7 in/cm into shelf 2402
33.0,,,4,2317,336,46,62164.0,04,4,6,2403,22.660855095018633,The last book from this shelf goes 22.7 in/cm into shelf 2403
31.0,,,4,2318,336,46,62195.0,04,5,6,2405,1.5273582601803355,The last book from this shelf goes 1.5 in/cm into shelf 2405
29.0,,,4,2319,336,46,62224.0,04,6,6,2406,4.460609842761187,The last book from this shelf goes 4.5 in/cm into shelf 2406
29.0,,,4,2320,336,46,62253.0,04,7,6,2407,7.393861425342038,The last book from this shelf goes 7.4 in/cm into shelf 2407
24.0,x,RJ135 .D48,4,2321,337,47,62277.0,04,1,1,2408,5.32711300792289,The last book from this shelf goes 5.3 in/cm into shelf 2408
23.0,,,4,2322,337,47,62300.0,04,2,1,2409,2.260364590503741,The last book from this shelf goes 2.3 in/cm into shelf 2409
25.0,,,4,2323,337,47,62325.0,04,3,1,2410,1.1936161730845924,The last book from this shelf goes 1.2 in/cm into shelf 2410
22.0,,,4,2324,337,47,62347.0,04,4,1,2410,23.193616173084592,The last book from this shelf goes 23.2 in/cm into shelf 2410
24.0,,,4,2325,337,47,62371.0,04,5,1,2411,21.126867755665444,The last book from this shelf goes 21.1 in/cm into shelf 2411
25.0,,,4,2326,337,47,62396.0,04,6,1,2412,20.060119338246295,The last book from this shelf goes 20.1 in/cm into shelf 2412
17.0,,,4,2327,337,47,62413.0,04,7,1,2413,10.993370920827147,The last book from this shelf goes 11.0 in/cm into shelf 2413
16.0,x,,4,2328,338,47,62429.0,04,1,2,2414,0.926622503407998,The last book from this shelf goes 0.9 in/cm into shelf 2414
18.0,,,4,2329,338,47,62447.0,04,2,2,2414,18.926622503407998,The last book from this shelf goes 18.9 in/cm into shelf 2414
15.0,,,4,2330,338,47,62462.0,04,3,2,2415,7.859874085988849,The last book from this shelf goes 7.9 in/cm into shelf 2415
18.0,,,4,2331,338,47,62480.0,04,4,2,2415,25.85987408598885,The last book from this shelf goes 25.9 in/cm into shelf 2415
12.0,,,4,2332,338,47,62492.0,04,5,2,2416,11.7931256685697,The last book from this shelf goes 11.8 in/cm into shelf 2416
18.0,,,4,2333,338,47,62510.0,04,6,2,2417,3.726377251150552,The last book from this shelf goes 3.7 in/cm into shelf 2417
19.0,,,4,2334,338,47,62529.0,04,7,2,2417,22.726377251150552,The last book from this shelf goes 22.7 in/cm into shelf 2417
14.0,x,,4,2335,339,47,62543.0,04,1,3,2418,10.659628833731404,The last book from this shelf goes 10.7 in/cm into shelf 2418
11.0,,,4,2336,339,47,62554.0,04,2,3,2418,21.659628833731404,The last book from this shelf goes 21.7 in/cm into shelf 2418
14.0,,,4,2337,339,47,62568.0,04,3,3,2419,9.592880416312255,The last book from this shelf goes 9.6 in/cm into shelf 2419
16.0,,,4,2338,339,47,62584.0,04,4,3,2419,25.592880416312255,The last book from this shelf goes 25.6 in/cm into shelf 2419
16.0,,,4,2339,339,47,62600.0,04,5,3,2420,15.526131998893106,The last book from this shelf goes 15.5 in/cm into shelf 2420
16.0,,,4,2340,339,47,62616.0,04,6,3,2421,5.459383581473958,The last book from this shelf goes 5.5 in/cm into shelf 2421
15.0,,,4,2341,339,47,62631.0,04,7,3,2421,20.459383581473958,The last book from this shelf goes 20.5 in/cm into shelf 2421
17.0,x,,4,2342,340,47,62648.0,04,1,4,2422,11.39263516405481,The last book from this shelf goes 11.4 in/cm into shelf 2422
18.0,,,4,2343,340,47,62666.0,04,2,4,2423,3.3258867466356605,The last book from this shelf goes 3.3 in/cm into shelf 2423
14.0,,,4,2344,340,47,62680.0,04,3,4,2423,17.32588674663566,The last book from this shelf goes 17.3 in/cm into shelf 2423
18.0,,,4,2345,340,47,62698.0,04,4,4,2424,9.259138329216512,The last book from this shelf goes 9.3 in/cm into shelf 2424
16.0,,,4,2346,340,47,62714.0,04,5,4,2424,25.259138329216512,The last book from this shelf goes 25.3 in/cm into shelf 2424
15.0,,,4,2347,340,47,62729.0,04,6,4,2425,14.192389911797363,The last book from this shelf goes 14.2 in/cm into shelf 2425
17.0,,,4,2348,340,47,62746.0,04,7,4,2426,5.125641494378215,The last book from this shelf goes 5.1 in/cm into shelf 2426
12.0,x,,4,2349,341,47,62758.0,04,1,5,2426,17.125641494378215,The last book from this shelf goes 17.1 in/cm into shelf 2426
13.0,,,4,2350,341,47,62771.0,04,2,5,2427,4.058893076959066,The last book from this shelf goes 4.1 in/cm into shelf 2427
15.0,,,4,2351,341,47,62786.0,04,3,5,2427,19.058893076959066,The last book from this shelf goes 19.1 in/cm into shelf 2427
15.0,,,4,2352,341,47,62801.0,04,4,5,2428,7.9921446595399175,The last book from this shelf goes 8.0 in/cm into shelf 2428
16.0,,,4,2353,341,47,62817.0,04,5,5,2428,23.992144659539917,The last book from this shelf goes 24.0 in/cm into shelf 2428
15.0,,,4,2354,341,47,62832.0,04,6,5,2429,12.925396242120769,The last book from this shelf goes 12.9 in/cm into shelf 2429
19.0,,,4,2355,341,47,62851.0,04,7,5,2430,5.85864782470162,The last book from this shelf goes 5.9 in/cm into shelf 2430
17.0,x,,4,2356,342,47,62868.0,04,1,6,2430,22.85864782470162,The last book from this shelf goes 22.9 in/cm into shelf 2430
17.0,,,4,2357,342,47,62885.0,04,2,6,2431,13.791899407282472,The last book from this shelf goes 13.8 in/cm into shelf 2431
15.0,,,4,2358,342,47,62900.0,04,3,6,2432,2.725150989863323,The last book from this shelf goes 2.7 in/cm into shelf 2432
17.0,,,4,2359,342,47,62917.0,04,4,6,2432,19.725150989863323,The last book from this shelf goes 19.7 in/cm into shelf 2432
17.0,,,4,2360,342,47,62934.0,04,5,6,2433,10.658402572444174,The last book from this shelf goes 10.7 in/cm into shelf 2433
18.0,,,4,2361,342,47,62952.0,04,6,6,2434,2.591654155025026,The last book from this shelf goes 2.6 in/cm into shelf 2434
16.0,,,4,2362,342,47,62968.0,04,7,6,2434,18.591654155025026,The last book from this shelf goes 18.6 in/cm into shelf 2434
15.0,x,RJ496 .S7 K35,4,2363,343,48,62983.0,04,1,1,2435,7.524905737605877,The last book from this shelf goes 7.5 in/cm into shelf 2435
16.0,,,4,2364,343,48,62999.0,04,2,1,2435,23.524905737605877,The last book from this shelf goes 23.5 in/cm into shelf 2435
16.0,,,4,2365,343,48,63015.0,04,3,1,2436,13.458157320186729,The last book from this shelf goes 13.5 in/cm into shelf 2436
15.0,,,4,2366,343,48,63030.0,04,4,1,2437,2.39140890276758,The last book from this shelf goes 2.4 in/cm into shelf 2437
15.0,,,4,2367,343,48,63045.0,04,5,1,2437,17.39140890276758,The last book from this shelf goes 17.4 in/cm into shelf 2437
15.0,,,4,2368,343,48,63060.0,04,6,1,2438,6.324660485348431,The last book from this shelf goes 6.3 in/cm into shelf 2438
18.0,,,4,2369,343,48,63078.0,04,7,1,2438,24.32466048534843,The last book from this shelf goes 24.3 in/cm into shelf 2438
16.0,x,,4,2370,344,48,63094.0,04,1,2,2439,14.257912067929283,The last book from this shelf goes 14.3 in/cm into shelf 2439
18.0,,,4,2371,344,48,63112.0,04,2,2,2440,6.191163650510134,The last book from this shelf goes 6.2 in/cm into shelf 2440
20.0,,,4,2372,344,48,63132.0,04,3,2,2441,0.12441523309098557,The last book from this shelf goes 0.1 in/cm into shelf 2441
16.0,,,4,2373,344,48,63148.0,04,4,2,2441,16.124415233090986,The last book from this shelf goes 16.1 in/cm into shelf 2441
19.0,,,4,2374,344,48,63167.0,04,5,2,2442,9.057666815671837,The last book from this shelf goes 9.1 in/cm into shelf 2442
19.0,,,4,2375,344,48,63186.0,04,6,2,2443,1.9909183982526883,The last book from this shelf goes 2.0 in/cm into shelf 2443
18.0,,,4,2376,344,48,63204.0,04,7,2,2443,19.99091839825269,The last book from this shelf goes 20.0 in/cm into shelf 2443
18.0,x,,4,2377,345,48,63222.0,04,1,3,2444,11.92416998083354,The last book from this shelf goes 11.9 in/cm into shelf 2444
20.0,,,4,2378,345,48,63242.0,04,2,3,2445,5.857421563414391,The last book from this shelf goes 5.9 in/cm into shelf 2445
19.0,,,4,2379,345,48,63261.0,04,3,3,2445,24.85742156341439,The last book from this shelf goes 24.9 in/cm into shelf 2445
25.0,,,4,2380,345,48,63286.0,04,4,3,2446,23.790673145995243,The last book from this shelf goes 23.8 in/cm into shelf 2446
21.0,,,4,2381,345,48,63307.0,04,5,3,2447,18.723924728576094,The last book from this shelf goes 18.7 in/cm into shelf 2447
23.0,,,4,2382,345,48,63330.0,04,6,3,2448,15.657176311156945,The last book from this shelf goes 15.7 in/cm into shelf 2448
20.0,,,4,2383,345,48,63350.0,04,7,3,2449,9.590427893737797,The last book from this shelf goes 9.6 in/cm into shelf 2449
28.0,x,,4,2384,346,48,63378.0,04,1,4,2450,11.523679476318648,The last book from this shelf goes 11.5 in/cm into shelf 2450
21.0,,,4,2385,346,48,63399.0,04,2,4,2451,6.4569310588994995,The last book from this shelf goes 6.5 in/cm into shelf 2451
21.0,,,4,2386,346,48,63420.0,04,3,4,2452,1.3901826414803509,The last book from this shelf goes 1.4 in/cm into shelf 2452
16.0,,,4,2387,346,48,63436.0,04,4,4,2452,17.39018264148035,The last book from this shelf goes 17.4 in/cm into shelf 2452
18.0,,,4,2388,346,48,63454.0,04,5,4,2453,9.323434224061202,The last book from this shelf goes 9.3 in/cm into shelf 2453
19.0,,,4,2389,346,48,63473.0,04,6,4,2454,2.2566858066420536,The last book from this shelf goes 2.3 in/cm into shelf 2454
28.0,,,4,2390,346,48,63501.0,04,7,4,2455,4.189937389222905,The last book from this shelf goes 4.2 in/cm into shelf 2455
14.0,x,,4,2391,347,48,63515.0,04,1,5,2455,18.189937389222905,The last book from this shelf goes 18.2 in/cm into shelf 2455
20.0,,,4,2392,347,48,63535.0,04,2,5,2456,12.123188971803756,The last book from this shelf goes 12.1 in/cm into shelf 2456
18.0,,,4,2393,347,48,63553.0,04,3,5,2457,4.056440554384608,The last book from this shelf goes 4.1 in/cm into shelf 2457
17.0,,,4,2394,347,48,63570.0,04,4,5,2457,21.056440554384608,The last book from this shelf goes 21.1 in/cm into shelf 2457
19.0,,,4,2395,347,48,63589.0,04,5,5,2458,13.98969213696546,The last book from this shelf goes 14.0 in/cm into shelf 2458
21.0,,,4,2396,347,48,63610.0,04,6,5,2459,8.92294371954631,The last book from this shelf goes 8.9 in/cm into shelf 2459
16.0,,,4,2397,347,48,63626.0,04,7,5,2459,24.92294371954631,The last book from this shelf goes 24.9 in/cm into shelf 2459
25.0,x,,4,2398,348,48,63651.0,04,1,6,2460,23.856195302127162,The last book from this shelf goes 23.9 in/cm into shelf 2460
21.0,,,4,2399,348,48,63672.0,04,2,6,2461,18.789446884708013,The last book from this shelf goes 18.8 in/cm into shelf 2461
16.0,,,4,2400,348,48,63688.0,04,3,6,2462,8.722698467288865,The last book from this shelf goes 8.7 in/cm into shelf 2462
19.0,,,4,2401,348,48,63707.0,04,4,6,2463,1.6559500498697162,The last book from this shelf goes 1.7 in/cm into shelf 2463
18.0,,,4,2402,348,48,63725.0,04,5,6,2463,19.655950049869716,The last book from this shelf goes 19.7 in/cm into shelf 2463
24.0,,,4,2403,348,48,63749.0,04,6,6,2464,17.589201632450568,The last book from this shelf goes 17.6 in/cm into shelf 2464
